<Subnode of each supernode>
18	0
20	20	19
11	22	23	21	12	13	9	10
15	1
17	4	3
5	11	17
8	15	7	16	14	6	5
21	18
<Superedge info>
18	15	1
20	18	2
11	5	14
17	15	2
8	5	6
